Pleme,Plemenski,Nedelja,Takmicar,Nominacija,
Plavi,1,1,Luka,Katia,
Plavi,1,1,Katia,Martina,
Plavi,1,1,Jakob,Martina,
Plavi,1,1,Damjan,Katia,
Plavi,1,1,Meggy,Dorian,
Plavi,1,1,Mihaela,Katia,
Plavi,1,1,Matea,Katia,
Plavi,1,1,Nikola,Katia,
Plavi,1,1,Dorian,Katia,
Plavi,1,1,Martina,Katia,
Crveni,2,1,Ivana,Marko,
Crveni,2,1,Marko,Ivana,
Crveni,2,1,Mitar,Vesna,
Crveni,2,1,Varja,Marko,
Crveni,2,1,Katarina,Marko,
Crveni,2,1,Ognjen,Ivana,
Crveni,2,1,Vesna,Marko,
Crveni,2,1,Uroš,Ivana,
Crveni,2,1,Tijana,Uroš,
Crveni,2,1,Vojislav,Ivana,
Plavi,1,2,Katia,Nikola,
Plavi,1,2,Luka,Katia,
Plavi,1,2,Jakob,Nikola,
Plavi,1,2,Mihaela,Katia,
Plavi,1,2,Meggy,Nikola,
Plavi,1,2,Dorian,Katia,
Plavi,1,2,Nikola,Katia,
Plavi,1,2,Matea,Nikola,
Plavi,1,2,Martina,Katia,
Plavi,1,2,Damjan,Nikola,
Crveni,2,2,Ivana,Mitar,
Crveni,2,2,Varja,Mitar,
Crveni,2,2,Mitar,Varja,
Crveni,2,2,Ognjen,Ivana,
Crveni,2,2,Katarina,Varja,
Crveni,2,2,Tijana,Varja,
Crveni,2,2,Uroš,Ivana,
Crveni,2,2,Vojislav,Ivana,
Crveni,2,2,Vesna,Varja,
Crveni,1,3,Uroš,Varja,
Crveni,1,3,Ivana,Vojislav,
Crveni,1,3,Tijana,Varja,
Crveni,1,3,Ognjen,Ivana,
Crveni,1,3,Vojislav,Varja,
Crveni,1,3,Varja,Mitar,
Crveni,1,3,Anđela,Vesna,
Crveni,1,3,Katarina,Varja,
Crveni,1,3,Vesna,Varja,
Crveni,1,3,Mitar,Varja,
Crveni,1,3,Stefan,Vojislav,
Plavi,2,3,Dorian,Meggy,
Plavi,2,3,Nikola,Meggy,
Plavi,2,3,Mihaela,Meggy,
Plavi,2,3,Martina,Meggy,
Plavi,2,3,Alex,Damjan,
Plavi,2,3,Luka,Meggy,
Plavi,2,3,Matea,Meggy,
Plavi,2,3,Nancy,Mihaela,
Plavi,2,3,Damjan,Meggy,
Plavi,2,3,Jakob,Meggy,
Plavi,2,3,Meggy,Nikola,
Crveni,1,4,Uroš,Varja,
Crveni,1,4,Ivana,Ognjen,
Crveni,1,4,Tijana,Varja,
Crveni,1,4,Ognjen,Varja,
Crveni,1,4,Vojislav,Varja,
Crveni,1,4,Varja,Ognjen,
Crveni,1,4,Vesna,Varja,
Crveni,1,4,Mitar,Varja,
Crveni,1,4,Stefan,Varja,
Crveni,1,4,Katarina,Varja,
Crveni,1,4,Anđela,Varja,
Crveni,2,4,Uroš,Ivana,
Crveni,2,4,Ivana,Ognjen,
Crveni,2,4,Tijana,Ivana,
Crveni,2,4,Ognjen,Ivana,
Crveni,2,4,Vojislav,Ivana,
Crveni,2,4,Varja,Ognjen,
Crveni,2,4,Vesna,Ivana,
Crveni,2,4,Anđela,Ivana,
Crveni,2,4,Katarina,Ivana,
Crveni,2,4,Mitar,Ognjen,
Crveni,2,4,Stefan,Ivana,
Plavi,1,5,Dorian,Alex,
Plavi,1,5,Nikola,Alex,
Plavi,1,5,Mihaela,Alex,
Plavi,1,5,Martina,Alex,
Plavi,1,5,Alex,Nikola,
Plavi,1,5,Luka,Alex,
Plavi,1,5,Matea,Alex,
Plavi,1,5,Nancy,Alex,
Plavi,1,5,Damjan,Alex,
Plavi,1,5,Jakob,Nikola,
Crveni,2,5,Varja,Mitar,
Crveni,2,5,Uroš,Varja,
Crveni,2,5,Ognjen,Varja,
Crveni,2,5,Tijana,Varja,
Crveni,2,5,Anđela,Varja,
Crveni,2,5,Stefan,Varja,
Crveni,2,5,Mitar,Varja,
Crveni,2,5,Vesna,Varja,
Crveni,2,5,Katarina,Varja,
Crveni,2,5,Vojislav,Varja,
Plavi,1,6,Dorian,Alex,
Plavi,1,6,Nikola,Alex,
Plavi,1,6,Mihaela,Alex,
Plavi,1,6,Martina,Alex,
Plavi,1,6,Alex,Damjan,
Plavi,1,6,Luka,Alex,
Plavi,1,6,Matea,Alex,
Plavi,1,6,Nancy,Damjan,
Plavi,1,6,Damjan,Alex,
Crveni,2,6,Uroš,Ognjen,
Crveni,2,6,Katarina,Ognjen,
Crveni,2,6,Tijana,Ognjen,
Crveni,2,6,Ognjen,Vesna,
Crveni,2,6,Vojislav,Ognjen,
Crveni,2,6,Mitar,Ognjen,
Crveni,2,6,Vesna,Ognjen,
Crveni,2,6,Anđela,Ognjen,
Crveni,2,6,Stefan,Ognjen,
Plavi,1,7,Dorian,Damjan,
Plavi,1,7,Nikola,Damjan,
Plavi,1,7,Mihaela,Damjan,
Plavi,1,7,Martina,Damjan,
Plavi,1,7,Alex,Damjan,
Plavi,1,7,Luka,Damjan,
Plavi,1,7,Matea,Damjan, 
Plavi,1,7,Nancy,Damjan,
Plavi,1,7,Damjan,Nikola,
Plavi,2,7,Dorian,Nikola,
Plavi,2,7,Nikola,Dorian,
Plavi,2,7,Mihaela,Nikola,
Plavi,2,7,Martina,Nikola,
Plavi,2,7,Luka,Nikola,
Plavi,2,7,Alex,Nikola,
Plavi,2,7,Matea,Nikola,
Plavi,2,7,Damjan,Nikola,
Plavi,2,7,Nancy,Nikola,